epoch,loss,ce_loss,dice_loss,boundary_loss,learning_rate,timestamp
0,3.351794241492591,1.7211606153558296,1.6306336263644774,0.0,1.3999999999999998e-07,2025-05-25T16:25:36.805562
1,3.3074636411530243,1.6753986085326533,1.632065030087031,0.0,2.2999999999999997e-07,2025-05-25T16:29:37.449815
2,3.233753684940174,1.600413358513241,1.6333403268539006,0.0,3.1999999999999995e-07,2025-05-25T16:31:45.058396
3,3.1376492454534275,1.5089891616970215,1.6286600829878646,0.0,4.0999999999999994e-07,2025-05-25T16:35:51.147898
4,3.040387517173971,1.4144424467054912,1.6259450691591133,0.0,5e-07,2025-05-25T16:37:58.643581
5,2.9451040336942262,1.3226814246394003,1.6224226089694325,0.0,4.994031923136569e-07,2025-05-25T16:42:14.014711
6,2.866931516438751,1.2471229509728914,1.6198085693370305,0.0,4.976156768416847e-07,2025-05-25T16:44:27.431966
7,2.792814714063774,1.1766648897127299,1.6161498252049786,0.0,4.946461621797824e-07,2025-05-25T16:48:42.769281
8,2.7330141746098353,1.1192825439153906,1.613731631519915,0.0,4.905091155048881e-07,2025-05-25T16:50:54.272434
9,2.6780043192556504,1.0663038466300072,1.6117004706615932,0.0,4.852246920925475e-07,2025-05-25T16:54:57.327457
10,2.624614920577438,1.015123997072208,1.609490921811593,0.0,4.78818637122437e-07,2025-05-25T16:57:05.131159
11,2.581669720446597,0.9736105906843797,1.6080591282962955,0.0,4.7132216025043695e-07,2025-05-25T17:01:08.581961
12,2.5320525366916127,0.9274372981919942,1.6046152396666629,0.0,4.6277178355832417e-07,2025-05-25T17:03:16.965234
13,2.4988367264910663,0.8973012287329808,1.6015354994374906,0.0,4.5320916362186194e-07,2025-05-25T17:07:22.295067
14,2.461320374506137,0.8612378474748351,1.6000825268035859,0.0,4.426808885641494e-07,2025-05-25T17:09:30.680904
15,2.4282261906858844,0.8316176402904698,1.596608549441854,0.0,4.3123825108296936e-07,2025-05-25T17:13:34.494458
16,2.4014779240490713,0.8080005246110495,1.5934774003488856,0.0,4.189369985579201e-07,2025-05-25T17:15:42.798936
17,2.37512697981103,0.784722874931984,1.5904041026588156,0.0,4.058370614547861e-07,2025-05-25T17:19:50.656519
18,2.3516955901695185,0.7646577892808997,1.5870378016856248,0.0,3.920022613503328e-07,2025-05-25T17:21:59.592246
