epoch,loss,ce_loss,dice_loss,boundary_loss,learning_rate,timestamp
0,1.7633121832733898,0.4312161270284305,1.332096055360316,0.0,0.001,2025-05-27T14:10:21.662420
0,1.7552101830786453,0.4302193569005841,1.3249908251773992,0.0,0.001,2025-05-27T14:15:06.808713
1,1.5101482336828598,0.37248371654618395,1.1376645169989037,0.0,0.001,2025-05-27T14:19:15.267159
2,1.3987034213223886,0.34944613901875604,1.0492572825610493,0.0,0.001,2025-05-27T14:23:20.307112
3,1.2919497455413613,0.32700645026281805,0.9649432954997041,0.0,0.001,2025-05-27T14:27:24.651793
4,1.198291278175484,0.30497537802388197,0.8933159013154153,0.0,0.001,2025-05-27T14:31:30.125044
5,1.1266582936556089,0.2913733644333924,0.8352849299020141,0.0,0.001,2025-05-27T14:35:37.610661
6,1.062474090861578,0.27667965757912094,0.7857944307536104,0.0,0.001,2025-05-27T14:39:47.244354
7,0.9986500680301601,0.25998742472190056,0.7386626446044068,0.0,0.001,2025-05-27T14:43:59.997994
8,0.9608931718081454,0.2530905764323371,0.7078025964054748,0.0,0.001,2025-05-27T14:48:11.173292
9,0.8928282773697753,0.2342558099387481,0.6585724672261816,0.0,0.001,2025-05-27T14:52:26.369212
10,0.842291072641846,0.2223857217262116,0.6199053514322805,0.0,0.001,2025-05-27T14:56:41.637519
11,0.8123598071925542,0.21630024042823454,0.5960595679109114,0.0,0.001,2025-05-27T15:00:52.471552
12,0.780990536181016,0.20705958206995126,0.5739309551652041,0.0,0.001,2025-05-27T15:05:03.832359
13,0.7515314413973305,0.2002099457820039,0.551321495826517,0.0,0.001,2025-05-27T15:09:16.813260
14,0.703268449787966,0.18729076285703775,0.5159776868611357,0.0,0.001,2025-05-27T15:13:30.170500
15,0.6680380767424321,0.17762486288491683,0.49041321411039995,0.0,0.001,2025-05-27T15:17:45.499876
16,0.634194827456834,0.16826460393113957,0.4659302235229752,0.0,0.001,2025-05-27T15:22:02.021258
17,0.6132386893106493,0.16465143662063889,0.4485872530879185,0.0,0.001,2025-05-27T15:26:18.781630
18,0.5749565220227206,0.15592728509066894,0.41902923758012534,0.0,0.001,2025-05-27T15:30:36.663809
19,0.5548269680961785,0.14773431314096544,0.40709265456002414,0.0,0.001,2025-05-27T15:34:56.153435
20,0.5343821846075592,0.14446754080771385,0.38991464419956623,0.0,0.001,2025-05-27T15:39:15.228882
21,0.5213851453614061,0.14094618035530232,0.38043896432630625,0.0,0.001,2025-05-27T15:43:37.796419
22,0.5028952731558296,0.13577316028322037,0.36712211257349836,0.0,0.001,2025-05-27T15:48:04.775788
23,0.4866538577996321,0.1319721338006049,0.35468172278717486,0.0,0.001,2025-05-27T15:52:31.842404
24,0.4804800801323568,0.13108068530305023,0.34939939488459676,0.0,0.001,2025-05-27T15:56:58.207664
25,0.4464495753937394,0.1207265785331056,0.32572299627782075,0.0,0.001,2025-05-27T16:01:26.870413
26,0.4416683463792151,0.11984409736401408,0.3218242492698985,0.0,0.001,2025-05-27T16:05:56.192424
27,0.4297140606418433,0.11948435393427193,0.3102297070542681,0.0,0.001,2025-05-27T16:10:24.684970
28,0.4122283313613738,0.11098881211412794,0.3012395192236796,0.0,0.001,2025-05-27T16:14:55.177508
29,0.4063847619324125,0.11095341737144185,0.2954313447005557,0.0,0.001,2025-05-27T16:19:31.467843
30,0.39751705178524166,0.10712190402803122,0.29039514749299583,0.0,0.001,2025-05-27T16:24:02.796163
31,0.39404747802990775,0.10808354511884224,0.2859639330211927,0.0,0.001,2025-05-27T16:28:31.440138
32,0.38055811569348447,0.10356590187997351,0.2769922142771329,0.0,0.001,2025-05-27T16:33:00.532565
33,0.3673275982593968,0.09953764161942504,0.2677899560789122,0.0,0.001,2025-05-27T16:37:31.860107
34,0.3612993324252521,0.0971761461737092,0.2641231864038175,0.0,0.001,2025-05-27T16:42:03.325280
