epoch,loss,ce_loss,dice_loss,boundary_loss,learning_rate,timestamp
0,3.5219030418930504,0.4441397690682167,2.0911378136661085,0.9866254565286777,8.032834296233709e-06,2025-05-25T21:14:03.540612
1,3.5207952435623815,0.443464383087327,2.09075786083966,0.9865729984632284,8.13131472470556e-06,2025-05-25T21:21:39.504759
2,3.522039082901316,0.4439750796911053,2.0914568044794697,0.9866071982838528,8.295373920091275e-06,2025-05-25T21:25:47.738682
3,3.5219401804512347,0.4438672597531958,2.091407044271452,0.986665874397274,8.524899658052932e-06,2025-05-25T21:33:32.628817
4,3.5213580016658486,0.443772286652874,2.0909661801280994,0.9866195349801138,8.819734932005713e-06,2025-05-25T21:37:40.079504
0,3.5219030418930504,0.4441397690682167,2.0911378136661085,0.9866254565286777,8.032834296233709e-06,2025-05-26T16:02:53.140636
1,3.5207952435623815,0.443464383087327,2.09075786083966,0.9865729984632284,8.13131472470556e-06,2025-05-26T16:10:29.217562
2,3.522039082901316,0.4439750796911053,2.0914568044794697,0.9866071982838528,8.295373920091275e-06,2025-05-26T16:14:36.680754
3,3.5219401804512347,0.4438672597531958,2.091407044271452,0.986665874397274,8.524899658052932e-06,2025-05-26T16:22:21.678425
4,3.5213580016658486,0.443772286652874,2.0909661801280994,0.9866195349801138,8.819734932005713e-06,2025-05-26T16:26:27.696566
5,3.522075360620737,0.44410468384462354,2.091349425920695,0.9866212487748239,9.17967806051781e-06,2025-05-26T16:34:12.692021
6,3.520233363528519,0.4422614819781384,2.0913456779196786,0.9866262024951661,9.604482825270242e-06,2025-05-26T16:38:17.045352
7,3.5226847769119276,0.44466216480515114,2.0913949710781243,0.9866276412997157,1.0093858639482106e-05,2025-05-26T16:46:00.522666
8,3.5225246208138405,0.4449440790386092,2.090955452112556,0.9866250919264209,1.0647470746685578e-05,2025-05-26T16:50:05.326541
9,3.520488656024314,0.44269440479159006,2.091172148871914,0.986622103928582,1.1264940449715532e-05,2025-05-26T16:57:47.476763
10,3.5211016882134047,0.44300517220061086,2.091476583785598,0.9866199308205964,1.1945845369756451e-05,2025-05-26T17:01:51.942501
11,3.5213841606616505,0.4438049479688984,2.0909837842456476,0.9865954310258699,1.2689719735269755e-05,2025-05-26T17:09:37.496457
12,3.521399574059418,0.44373497543462725,2.091055810920374,0.9866087876824385,1.349605470060385e-05,2025-05-26T17:13:41.068118
13,3.5221639706321874,0.44449053296678304,2.0910308269624513,0.9866426106516708,1.4364298694068774e-05,2025-05-26T17:21:27.171376
14,3.5223501550295593,0.4446930901652006,2.0910383918878486,0.9866186756944704,1.52938577952378e-05,2025-05-26T17:25:32.604890
15,3.5202040160065673,0.4429956639484084,2.090627792251966,0.9865805621871554,1.6284096141217338e-05,2025-05-26T17:33:20.361544
16,3.519794423554382,0.44229823048341005,2.090872314710064,0.986623876390204,1.733433636160741e-05,2025-05-26T17:37:24.478443
17,3.5217873030355897,0.44376173441095923,2.0913606528687265,0.9866649208108701,1.8443860041855752e-05,2025-05-26T17:45:12.464336
18,3.522146564903747,0.4444706417627508,2.0910433316887187,0.986632589628094,1.961190821468743e-05,2025-05-26T17:49:16.083670
19,3.5220763881415156,0.44447568235525103,2.091011845725593,0.9865888604782558,2.0837681879274863e-05,2025-05-26T17:57:03.775851
