epoch,loss,ce_loss,dice_loss,boundary_loss,learning_rate,timestamp
0,1.5418591106518633,0.4421201428396711,1.0997389661292292,0.0,5e-05,2025-05-25T17:30:17.191726
1,1.3049224293305972,0.34745005764060055,0.9574723701137754,0.0,5e-05,2025-05-25T17:34:04.575377
2,1.179418065386834,0.3173112254643167,0.8621068384921767,0.0,5e-05,2025-05-25T17:36:22.106546
3,1.081906848161018,0.29606351839803663,0.7858433294347501,0.0,5e-05,2025-05-25T17:40:08.221015
4,1.0051199327496083,0.2793983097873991,0.7257216224498485,0.0,5e-05,2025-05-25T17:42:25.842905
5,0.9348591996041956,0.26431437755055165,0.6705448219148796,0.0,5e-05,2025-05-25T17:46:12.593417
6,0.8729805617869868,0.2501973833967936,0.6227831777750933,0.0,5e-05,2025-05-25T17:48:29.530546
7,0.8138218409138969,0.23400610990763607,0.5798157315057237,0.0,5e-05,2025-05-25T17:52:13.891236
8,0.7743419325824226,0.22758452790996564,0.5467574045617123,0.0,5e-05,2025-05-25T17:54:31.286842
9,0.734024411094052,0.21749858718646517,0.516525823911145,0.0,5e-05,2025-05-25T17:58:16.728218
10,0.6979434503866814,0.20694323114533986,0.4910002198379839,0.0,5e-05,2025-05-25T18:00:33.785080
11,0.6706887574825496,0.20177014111723562,0.468918616060655,0.0,5e-05,2025-05-25T18:04:19.940219
12,0.6338718969449615,0.19189040797207516,0.44198148749562366,0.0,5e-05,2025-05-25T18:06:45.968065
13,0.6255376571727118,0.19136837092423928,0.43416928591735043,0.0,5e-05,2025-05-25T18:11:07.749278
14,0.5900878065657992,0.18012410349527475,0.40996370287371914,0.0,5e-05,2025-05-25T18:13:49.786963
15,0.5765797531493755,0.1746620693286959,0.40191768330398236,0.0,5e-05,2025-05-25T18:18:09.147668
16,0.5473187044618693,0.16465914560094522,0.3826595587369478,0.0,5e-05,2025-05-25T18:20:51.650558
17,0.5376086747834198,0.16396143899707047,0.3736472348856038,0.0,5e-05,2025-05-25T18:25:10.805887
18,0.517076911644898,0.15575309325360498,0.361323818336699,0.0,5e-05,2025-05-25T18:27:52.763986
19,0.49870867965655774,0.14862654344483395,0.3500821363419266,0.0,5e-05,2025-05-25T18:32:02.200989
20,0.4916601089694837,0.1480199677281263,0.3436401412958402,0.0,5e-05,2025-05-25T18:34:39.035603
21,0.48006148903907314,0.14573814661663254,0.33432334193242885,0.0,5e-05,2025-05-25T18:38:55.328688
22,0.46502137274517824,0.14087119260504877,0.3241501804921552,0.0,5e-05,2025-05-25T18:41:33.438382
23,0.4507788907676053,0.1368230710361698,0.31395581989427235,0.0,5e-05,2025-05-25T18:45:49.998906
24,0.4370404216741081,0.1305466993508857,0.30649372230798944,0.0,5e-05,2025-05-25T18:48:28.664290
25,0.4336842132025997,0.13102457113791952,0.30265964206162244,0.0,5e-05,2025-05-25T18:52:44.577924
26,0.422999979008377,0.12893462364587208,0.29406535561412656,0.0,5e-05,2025-05-25T18:55:22.615266
27,0.4098650996805433,0.12259900584637251,0.2872660938426212,0.0,5e-05,2025-05-25T18:59:39.707092
28,0.4095491881428043,0.12326068515437251,0.2862885031198021,0.0,5e-05,2025-05-25T19:02:19.356786
29,0.39903903840093696,0.11878721430895933,0.2802518242979004,0.0,5e-05,2025-05-25T19:06:26.566037
30,0.39123353262457716,0.11600772206990205,0.2752258102298352,0.0,5e-05,2025-05-25T19:09:05.593781
31,0.3800708013262027,0.1143390303906836,0.26573177097576967,0.0,5e-05,2025-05-25T19:13:22.013704
32,0.37879579571194044,0.1124519295034794,0.26634386595989706,0.0,5e-05,2025-05-25T19:16:01.262849
33,0.36957819390163155,0.11052291019736953,0.25905528382790466,0.0,5e-05,2025-05-25T19:20:17.494080
34,0.3611631336592586,0.10596104754274444,0.25520208577599657,0.0,5e-05,2025-05-25T19:22:48.960408
35,0.3569480025217492,0.10638655631343986,0.25056144578067485,0.0,5e-05,2025-05-25T19:27:07.718318
36,0.3532249228148201,0.10470157647942377,0.2485233464037222,0.0,5e-05,2025-05-25T19:29:49.917661
